4.5,0.0325,167
4.55,0.0325,176
4.6,0.0325,174
4.65,0.0325,161
4.7,0.0325,159
4.75,0.0325,168
4.8,0.0325,156
4.85,0.0325,154
4.9,0.0325,153
4.95,0.0325,151
5.0,0.0325,150
0.1,0.035,30687
0.15,0.035,13669
0.2,0.035,7997
0.25,0.035,5677
0.3,0.035,4628
0.35,0.035,3526
0.4,0.035,3025
0.45,0.035,2645
0.5,0.035,2276
0.55,0.035,1919
0.6,0.035,1759
0.65,0.035,1623
0.7,0.035,1435
0.75,0.035,1339
0.8,0.035,1152
0.85,0.035,1181
0.9,0.035,1024
0.95,0.035,970
1.0,0.035,921
1.05,0.035,877
1.1,0.035,791
1.15,0.035,757
1.2,0.035,767
1.25,0.035,696
1.3,0.035,669
1.35,0.035,644
1.4,0.035,621
1.45,0.035,600
1.5,0.035,580
1.55,0.035,561
1.6,0.035,543
1.65,0.035,527
1.7,0.035,511
1.75,0.035,497
1.8,0.035,483
1.85,0.035,470
1.9,0.035,457
1.95,0.035,446
2.0,0.035,434
2.05,0.035,424
2.1,0.035,414
2.15,0.035,404
2.2,0.035,395
2.25,0.035,386
2.3,0.035,378
2.35,0.035,370
2.4,0.035,362
2.45,0.035,354
2.5,0.035,347
2.55,0.035,340
2.6,0.035,334
2.65,0.035,328
2.7,0.035,321
2.75,0.035,316
2.8,0.035,310
2.85,0.035,304
2.9,0.035,299
2.95,0.035,294
3.0,0.035,289
3.05,0.035,284
3.1,0.035,280
3.15,0.035,275
3.2,0.035,271
3.25,0.035,244
3.3,0.035,238
3.35,0.035,259
3.4,0.035,255
3.45,0.035,251
3.5,0.035,248
3.55,0.035,221
3.6,0.035,218
3.65,0.035,237
3.7,0.035,234
3.75,0.035,231
3.8,0.035,228
3.85,0.035,191
3.9,0.035,203
3.95,0.035,186
4.0,0.035,196
4.05,0.035,181
4.1,0.035,204
4.15,0.035,209
4.2,0.035,187
4.25,0.035,184
4.3,0.035,171
4.35,0.035,180
4.4,0.035,180
4.45,0.035,165
4.5,0.035,163
4.55,0.035,161
4.6,0.035,159
4.65,0.035,158
4.7,0.035,156
4.75,0.035,154
4.8,0.035,153
4.85,0.035,151
4.9,0.035,150
4.95,0.035,148
5.0,0.035,147
0.1,0.0375,31382
0.15,0.0375,13421
0.2,0.0375,7788
0.25,0.0375,5627
0.3,0.0375,4189
0.35,0.0375,3483
0.4,0.0375,2934
0.45,0.0375,2495
0.5,0.0375,2081
0.55,0.0375,1973
0.6,0.0375,1649
0.65,0.0375,1522
0.7,0.0375,1413
0.75,0.0375,1319
0.8,0.0375,1236
0.85,0.0375,1163
0.9,0.0375,1099
0.95,0.0375,954
1.0,0.0375,855
1.05,0.0375,814
1.1,0.0375,824
1.15,0.0375,744
1.2,0.0375,712
1.25,0.0375,684
1.3,0.0375,658
1.35,0.0375,633
1.4,0.0375,611
1.45,0.0375,589
1.5,0.0375,570
1.55,0.0375,551
1.6,0.0375,534
1.65,0.0375,518
1.7,0.0375,503
1.75,0.0375,488
1.8,0.0375,475
1.85,0.0375,462
1.9,0.0375,449
1.95,0.0375,438
2.0,0.0375,427
2.05,0.0375,416
2.1,0.0375,407
2.15,0.0375,397
2.2,0.0375,388
2.25,0.0375,379
2.3,0.0375,371
2.35,0.0375,363
2.4,0.0375,356
2.45,0.0375,348
2.5,0.0375,341
2.55,0.0375,335
2.6,0.0375,328
2.65,0.0375,322
2.7,0.0375,316
2.75,0.0375,310
2.8,0.0375,305
2.85,0.0375,299
2.9,0.0375,294
2.95,0.0375,289
3.0,0.0375,284
3.05,0.0375,279
3.1,0.0375,275
3.15,0.0375,271
3.2,0.0375,266
3.25,0.0375,262
3.3,0.0375,248
3.35,0.0375,254
3.4,0.0375,251
3.45,0.0375,247
3.5,0.0375,205
3.55,0.0375,240
3.6,0.0375,234
3.65,0.0375,197
3.7,0.0375,208
3.75,0.0375,227
3.8,0.0375,202
3.85,0.0375,200
3.9,0.0375,184
3.95,0.0375,195
4.0,0.0375,213
4.05,0.0375,178
4.1,0.0375,205
4.15,0.0375,185
4.2,0.0375,203
4.25,0.0375,169
4.3,0.0375,167
4.35,0.0375,165
4.4,0.0375,175
4.45,0.0375,161
4.5,0.0375,160
4.55,0.0375,158
4.6,0.0375,156
4.65,0.0375,154
4.7,0.0375,153
4.75,0.0375,151
